Français;Kabyle;Fréquence_Pourcentage
gris;abẓaw / adrdac / amɣdeddi / azazar;0.001
gros;abarar / adbbi / aḍbbuẓ / aqbbuz / amqqnjr / atmran / aṭṭbbuẓ / azntar / azurar / ḍni / uḍnay / ssḍni;0.001
gros orteil;tafdnt tamqrant;0.001
gros plan;asulf asmssi;0.001
grotte marine;ifri n yill;0.001
groupe audiovisuel;tagrumma tasliẓiṛt;0.001
groupe média;tagrumma tanɣmast;0.001
groupe sanguin;;0.001
groupe scolaire;tagrart tanmlant;0.001
grâce royale;asurf agldan;0.001
grès;ifrsggi;0.001
guet;anbdur;0.001
guide;amanar;0.001
guts;taḍwwaṛt;0.001
gué;asakʷi;0.001
gymnastique;tunnunt n umiẓḍ;0.001
gynécologie;tasnijjit n twtmin;0.001
gynécologue;aḍbib n twtmin;0.001
géosphère;asatl n wakal;0.001
gêne;tassast;0.001
habile;amddnki / amfulls / caṭṛ;0.001
habilitation à la recherche;aẓḍaṛ i urzzu;0.001
habit;aḥruy / timlsit;0.001
habits;aṛṛuḍ;0.001
hache;acaqur;0.001
hacher;qsses;0.001
haie;afrag;0.001
haine;aksan / akyaḍ / amyacaḍ;0.001
hall d’expositions;asarag n usfsr;0.001
hameau;ifɣl;0.001
hanche;agums / agrru / acṭṭaṛ;0.001
handball;tacamma n ufus / tawjja n ufus;0.001
handicap permanent;aɛḍubu amɣlal / ammuɛḍṛ n wabda;0.001
harcèlement;ukus n tibar;0.001
hargne;aqnẓṛ;0.001
hausse des températures;uluy n trɣi;0.001
haut;agnar / aflla / amajjyal / amattay / anaflla;0.001
haut plateau;taẓuḍa tanafllat;0.001
haut-parleur;amuffay n imsli;0.001
haute cour;tasnbḍayt tamattayt;0.001
hautes montagnes;idurar attuynin;0.001
hauteur de l'eau;;0.001
hauteur de précipitation;;0.001
haïk;afaggu / aḥayk;0.001
haïr;ksn / nkr;0.001
hennir;nhm / nḥiḥḍ / snḥiḥḥr / snḥnḥ;0.001
henné;amitr / anlla / lḥnni;0.001
hernie;abɛij / imlẓi / tabɛɛijt;0.001
heure;asrag / tassaɛt;0.001
heure de grande écoute;akud n tmsliwt s tugt;0.001
hiatus;amagr n iɣritn;0.001
hibou;tawukt / tawwugt;0.001
hier;assnnaṭ / iḍgam / iḍlli / iḍnnaṭ / ndiwass;0.001
hiver;tagrst;0.001
hiérarchie administrative;taskala tamssugurt;0.001
honte;azwar;0.001
hoquet;tanxsist / tiḥiṭṭit / tiqqst;0.001
horizon;amnid / igli / inniy / inniy n tiṭṭ;0.001
horloge, pendule;tamsragt yugln;0.001
hors champ;bṛṛa n yigr;0.001
houe;ajṛṛaf / algun / amadir;0.001
houle;izammarn;0.001
houppe;actu / takunbut / takʷbalt / taɛyyact / taskunt / tawtat;0.001
hoyau;tacṛṛaḍt;0.001
huile;azatim / zzit;0.001
huissier de justice;amawas anzraf;0.001
humain;anfgan;0.001
humeur;aṣniɛ;0.001
humide;mmɣ;0.001
humidité de l'air;;0.001
humérus;awtr / iɣss n yiɣil;0.001
huppe;bu izan;0.001
hurler;blbḍ / ɛwwg / izzif / nẓi / sɣuyy;0.001
hutte;aḥcuc / aɛcuc / anwal;0.001
hydrosphère;asatl n waman;0.001
hygromètre;tamsɣalt n ugundu;0.001
hymen;tindrt;0.001
hymne national;izli anamur;0.001
hyperglycémie;alay n tglisimt;0.001
hyperglycémie;alay n tglisimt;0.001
hypermétropie;tiɣzi n iẓṛi;0.001
hypertension;;0.001
hypertrophie cardiaque;abzag n wul / tufft n wul;0.001
hypoglycémie;uguz n tglisimt;0.001
hypotension;aṭanṣyu iggʷzn;0.001
hâte;addraf / aqllq / asddrf;0.001
hémiplégie;akucm uzgin;0.001
hémodialyse;adyaliz / asizdg n idammn;0.001
hémoptysie;iraran n idammn;0.001
hémorragie artérielle;asriddm aẓuṛan;0.001
hémorragie cérébrale;asriddm allxfan;0.001
hémorragie veineuse;asriddm n wamig;0.001
héméralopie (cécité nocturne);abukḍ n yiḍ / butllis / tudrɣlt n yiḍ;0.001
hépatite;afduddr n tasa;0.001
héritier du trône;amkkasu n tgldit;0.001
héros;abḥli / anaḍ / anbraz;0.001
hôpital de jour;asgnaf n wass;0.001
hôte;amagar / anbgi / anuji / tinbgiwt;0.001
ici;da / daha / ida / ɣi;0.001
identité visuelle;tamagit n iẓṛi;0.001
idiot;abkbuk / abhlal / abuhali / aqffuḥ / aqilul / amknun / dduqqr / ḥḥuyḍ / ḥuyḍ;0.001
idiotie;aflls / tabuhalit;0.001
idée;tawngimt;0.001
ignoble;ahrdun / iriz;0.001
ignorant;aqbbani / aqubban / amguf / amnzuɣ / war tussna;0.001
il a  soif;inɣa t fad;0.001
il a acheté les vêtements pour sa fille;;0.001
il a des coliques;inɣa t uẓbbaṛ;0.001
il a donné la paille à la vache;ifka alim i tfunast;0.001
il a faim;inɣa t laẓ;0.001
il a finalement trouvé ce qu'il cherchait;;0.001
il a lu ce livre;iɣra adlis a;0.001
il a lu le livre que tu lui as donné;iɣra adlis lli as tfkid;0.001
il a écrit la lettre à la main;yuri tabrat s ufus;0.001
il est allé à la maison;idda s taddart;0.001
il est fou;digs butabr;0.001
il est malade;inɣa t kra;0.001
il fait froid ces jours-ci;;0.001
il regrette;tuɣi tt tgṛẓawt;0.001
il t'insulte et tu t'es tu !;;0.001
il voyagera en été;rad immuddu g unbdu;0.001
il y avait, il était une fois;ikka tt inn;0.001
il étudie encore;ar sul yaqqra;0.001
illustrations musicales;anawn n uẓawan;0.001
image;tawlaft;0.001
imagerie par résonance magnétique (IRM);asulf s ungng amɣnaṭiṣ;0.001
images de synthèse;tiwlafin tusniyin;0.001
images en mouvement;tiwlafin ttmussunin;0.001
imberbe;almmag / alumaẓ;0.001
imbiber;zzbzg;0.001
immense;anallam;0.001
immonde;amuṛḍuṣ;0.001
immoral;war taɣara;0.001
immunité collective;taggaẓt tamgrut;0.001
immunité diplomatique;taggaẓt tadiblumasit;0.001
immunité parlementaire;taggaẓt tabṛlamanit;0.001
immunodéprimé;amudrus n taggaẓt / amudrus n tiqqilt;0.001
impact;tusurt;0.001
impair;waxiḍ / waẓẓ;0.001
impayé;ur ifrin;0.001
impoli;aɛffan;0.001
impôt;argay / tafṛiḍt / tayusi;0.001
inciter;ng / nzl / ucuc / yis;0.001
inclure;ssumu;0.001
index;uskin;0.001
indice;anmmal;0.001
infecte;anxmuj;0.001
infirme;rzm;0.001
infixe;amẓun;0.001
inion;tamlmut;0.001
initial;asntay;0.001
injure;tukkra;0.001
injuste;amrkkʷid;0.001
innover;snflul;0.001
inquiet;ḥyyṛ;0.001
insecte;abaxxu / abbuɛ / abɛɛuc / abxxuy / akindu;0.001
insulte;azawr / tamzawart / targgimt / tukkra;0.001
interne;agʷnsan;0.001
intuber;ssldu;0.001
inutile;abḍil;0.001
inviter;ɛṛḍ / ɣr / snbgi;0.001
invité;aqbil / amagar / anbgi / anuji;0.001
ire;asyas;0.001
iris;mmikʷlan / talillut;0.001
ironie;aṭnaẓ / taṭnẓit;0.001
irriter;ɣdded / skufr / sqllq / sskfṛ;0.001
isoler;ẓli;0.001
issue;tufɣt;0.001
ivette;tamulla / tufṭṭlba;0.001
jabot;aglu / aḥaglu / asgru / taqinsat;0.001
jadis;tizwira / zik;0.001
jardin d'enfants;;0.001
jarre;axsal / aqbuc / aqllal / aqlluḥ / aɣssal / acbari / taxabit / taqduḥt;0.001
jatte;aḥllab / taqnuct;0.001
jaune;awraɣ;0.001
je sais qu'il pleut;;0.001
jeter;bru / gr / luḥ / nḍb / nḍṛ / uswi / rdx / sbzzɛ / syyb / zli / ẓawḍ / ẓṛṛḍ / ẓẓṛyḍ;0.001
jeu;axmmṛ / urar;0.001
jeu de cartes;tasurart n tkaṛḍa;0.001
jeu de domino;tasurart n ukrbabbay;0.001
jeudi;akwas;0.001
joie;amiri / asmuzzu / tadawit / taraka / tumrt;0.001
joint;asmsl;0.001
jonc;abuda / asllbu / azlaf / aẓmu / aẓẓmay;0.001
joue;aglluẓ / agrbij  / amadl / amgiz / anbuz / anbuẓ / anji / taggayt;0.001
jouer;hḍṛ / ɛyaṛ / xmmr / xmmṛ / irar / laha / urar;0.001
jouet;taqcuct / tasurart;0.001
joufflu;albbux / bu imgizn;0.001
joug;aḥallas / azzaglu / tazglut;0.001
jour de l'an;;0.001
juge;anbḍu;0.001
juge d'instruction;;0.001
juger;bḍu;0.001
juif;uday;0.001
juin;yunyu;0.001
jupe;abrsur / tasafa;0.001
jurisconsulte;amuzay n tzrft;0.001
juste;bḥṛa;0.001
justice administrative;tazrft tamssugurt;0.001
justice sociale;tazrft tanamunt;0.001
justification à droite;asmisi ɣr ufasi;0.001
justification à gauche;asmisi ɣr uẓlmaḍ;0.001
karaté;kaṛaṭi;0.001
khella;tabcniqt;0.001
khettara;tarɣt;0.001
kilogramme;akilu;0.001
kimono;akimunu;0.001
kinésithérapie;altaf amsnijji;0.001
kyste;takurt / takccult;0.001
l'exécution des jugements;;0.001
la maison où il habitera est grande;tmqqur taddart mani ɣa izdɣ;0.001
"la neige a cessé ; il ne neige plus.";yusi udfl;0.001
la neige a fondu;ifsi udfl;0.001
label;tamatart tasɣnzit;0.001
label de qualité;tamatart n tɣara;0.001
laboratoire;asarm / asarm n usfsi;0.001
lac;aglmam / agʷlmim / talact;0.001
lac glaciaire;aglmam ugris;0.001
lac litorale;aglmam anftas;0.001
lac tectonique;aglmam ataktun;0.001
lacet;axattar;0.001
laid;axccan / amlluxcu / amnnuɣju / anssaraf;0.001
lait frais;aɣi acffay / aɣɣu icfin;0.001
lama;alama;0.001
lame;asari / taxdmit / tazzit / tizzt;0.001
lampe;anir / asfiw / asil / tasafut;0.001
lance;aḥric / ididl / tafala / taqnawt;0.001
langue officielle;tutlayt tamaddudt;0.001
laquelle ?;man ta;0.001
larme;amṭṭa / imṭṭi;0.001
las;amuḥul / anṛmuy;0.001
latitude;azrig n turrut;0.001
latte;adrsis;0.001
lave-linge;tamssirdt n tmlsa;0.001
lave-vaisselle;tamssirdt n ifckan;0.001
le;t;0.001
lentement;s ttawil;0.001
lentille de caméra;tiṭṭ n lkamiṛa;0.001
lentille de contact;tilintit tusliɣt;0.001
lequel ?;man wa;0.001
les cinq sens;takayin s smmust;0.001
leur;nnsn / nnsnt;0.001
levé;anamtan / umtin;0.001
libre;adrfi / amcix / sula;0.001
licol;atrku / aṭṛku / taglult / tawrit;0.001
lie;abrtix;0.001
lien;akarif / askrf / asqqn / asɣun / azday / taɣuni / tiɣuni / tuqqna;0.001
lier;zdi;0.001
lieu;adɣar / amkan / amml / ansa / araq;0.001
lime;talima;0.001
limon;abaḍxax;0.001
lion;agrzam / ayrad / buhrru / izm;0.001
lire;ɣr;0.001
liste;asddi / talgamt;0.001
lit;alktu / alitu / tasyut / tisi;0.001
local;abldi / adɣran;0.001
loi;izrf;0.001
long;ahrradi  / aɣzzaf / azgrar / uɣzif / zgrt;0.001
lot;amur / taysɣart;0.001
louer;alɣ / kra / kru / cnnɛ;0.001
loup;asɣda;0.001
lueur;axdad / tafuffut;0.001
lui;ntta;0.001
luth;ardin;0.001
lutte;abubbar / amlasay / amyabbar / anhittf / imiɣ (ak)d ... / tabubbart / tamaẓla / tamlasayt;0.001
lynx;amucc abṛṛan / arksim / awdal / tisggḍt;0.001
là-bas!;dinn  / ɣinn;0.001
légalement;s tɣarast tulgint;0.001
légalisation de signature;asɣzn n usgmḍ;0.001
légitime défense;amzaɣ ulgin;0.001
légumes-feuilles;icakan id bu wawsay;0.001
légumes-fleurs;icakan id bu tnwwacin;0.001
légumes-racines;icakan id bu iẓuṛan;0.001
légumes-tiges;icakan id bu iṣnṣan;0.001
légumineuses;icakan id bu waqqayn;0.001
ma;inu;0.001
magistrat, procureur;amari amatay;0.001
magnétoscope;amsusr n twlafin;0.001
maillot de bain;timlsit n ucucf;0.001
mainlevée;afsay n tdggart;0.001
maire;anssixf n tgrawt;0.001
mais;imma / mac / walaynni / axllad / amzgur / asngar;0.001
maison de l'artisan;;0.001
majeur;aḍaḍ amqran / amtrug;0.001
mal;amalad / takmmawt;0.001
mal de tête;arjaf / iɣnca n yixf;0.001
mal des transports;timlillay n wassayn;0.001
malade mental;amaḍun ungim;0.001
maladie auto-immune;tamaḍunt n tmaggaẓt tanimant;0.001
maladie contagieuse (transmissible);tamaḍunt ittmattayn;0.001
maladie héréditaire;tamaḍunt ittukkusn;0.001
maladie incurable;taḥlalast / tamaḍunt ur ittgnfan / tamaḍunt ur ittjjin;0.001
maladie psychique;;0.001
maladie vénérienne;tamaḍunt tarisant;0.001
maladies cardiovasculaires.;tamaḍunt n wul d iẓuṛan;0.001
malin;aqttun / amcum / uẓwiṛ;0.001
malnutrition sous-alimentation;gar utci;0.001
maltraitance des enfants;amrrt n imẓẓyann;0.001
maman;imma / immi;0.001
manteau neigeux;aɣamus n udfl;0.001
marcher à reculons;ugur ɣr tkrmin;0.001
marché public;tamsmhalt tagdudant;0.001
mardi;asinas;0.001
mare;amglagal;0.001
mari;argaz;0.001
marine marchande;tasɣnzit taylant;0.001
marque déposée;tamatart ittuzmmamn;0.001
mars;maṛṣ;0.001
marée basse;tayssa n yill;0.001
marée haute;ifil / tawant n yill;0.001
masque chirurgical;takmamt tanflayt;0.001
masse;aqlluz / tasakayt / tazduzt;0.001
masse d'air;;0.001
maternité;tammat / ṣṣbiṭaṛ n tarwa;0.001
matière contaminée;imis n umsiɣi;0.001
mauvais dîner vaut mieux que mauvais propos;yuf gar imnsi gar awal;0.001
mauvaise foi;gar taflst;0.001
maïs;imma / mac / walaynni / axllad / amzgur / asngar;0.001
me;iyi;0.001
menteur;ablɛuḍ / bu iḥllaln / bu ixrriqn / bu icttiḥn / bu tkrkas;0.001
menu;talgamt;0.001
merci;tanmmirt;0.001
merle;ajagju / ajḥmum / amjjku / asqsaq / atcḥmuḍ / tabuybaxt;0.001
mes;inu;0.001
mets;macca;0.001
miche;tunnirt;0.001
miel;tammemt;0.001
milan;asiwan / aswwan;0.001
mille;alf / ifḍ;0.001
mince;amɛlal / amudrus / aslkakaḍ / azbabay / azdad / imisdid / usdid;0.001
mine;azlam / udm / tagʷlimt / ticci;0.001
mite;imcci / takinda / tazura / tunya / mrumd;0.001
mité;imcci / takinda / tazura / tunya / mrumd;0.001
moi;nkk / nkki;0.001
moine;aṛhib;0.001
mois;ayyur;0.001
mon;inu;0.001
mont;aɛrmum / isk;0.001
monte;tanaka / tasudut;0.001
mors;aṭṛku / ṣṣṛimt;0.001
mort;amttin / tamttant;0.001
morve;axlul / axnnir / aqnnin;0.001
mot;taguri;0.001
moto;tasnsɣalt;0.001
mou;aḥruray / amlwaɣ / bullɛ;0.001
moule;tigri;0.001
mucus;insirn;0.001
mue;aslsu / asray / isnsr;0.001
muet;abkkuc / agnaw / aɛnẓul / alawlaw / azaynun / aẓiẓun / iglili;0.001
mufle;agntur / agcmir / ancr / acndur / acrdud;0.001
mugir;rmrm / smuhrt / sungu / zungi;0.001
mur;agadir / aɣrab / imiri / tabya / nwu;0.001
mâchoire inférieure;agja n izdar  / amayɣu / angug / tirmst;0.001
mâchoire supérieure;agja n uflla;0.001
mâle;awtm;0.001
méandre de la rivière;tiṛẓi n wasif;0.001
médecine générale;tasnijjit tamatayt;0.001
médecine interne;tasnijjit tagʷnsant;0.001
médecine légale;tasnijjit tulgint;0.001
médecine préventive;tasnijjit tamarayt;0.001
médire;msffad  / nqj / zdm dg;0.001
mémoire auditive;tawngimt timslit;0.001
ménopause;ibddi n islilan;0.001
même;aggʷd / agʷd / awd / ula;0.001
mûr;agadir / aɣrab / imiri / tabya / nwu;0.001
nage;acucf;0.001
nager;ftḥ / ccf;0.001
nain;axmuc;0.001
nanti;anbɣur;0.001
nasal;unzir;0.001
natte;agrtil / aqicc / ajṭṭuy / acḥuḥ / mcc / taḍṛṣt;0.001
navet;tagllat / tarkkimt / tirkmt;0.001
naviguer sur le Net;ssara / ssara g lwib;0.001
naïf;abujadi / abɣɣu / amhul / aminun;0.001
ne jamais;ur djin;0.001
ne jamais (dans le passé);ur jju;0.001
nerf moteur;azllum ansmassu;0.001
nerf moteur oculaire;azllum ansmassu n tiṭṭ;0.001
nerf optique;azllum imẓṛi;0.001
nerfs crâniens;izllumn n tɣcact;0.001
net;amsari / amzdag / uzdig;0.001
neuf;tẓa;0.001
neurologie;tasnijjit n izllumn;0.001
neurologue;aḍbib n izllumn;0.001
neurone;taɣrast tanzlumt;0.001
neuvième;wis tẓa;0.001
niais;abahnas / amhul / amɣndf;0.001
nid;agḍf  / agʷdf / agʷlf / adif / akʷtf / isski / usud;0.001
nier;nakṛ;0.001
nivation;tazuzzft s udfl;0.001
nivomètre;tamsɣalt n udfl;0.001
nodal;amkrus;0.001
noir;abxxan / abrkan / abṛṛan / asggan / iḍili / uḍlay / ungal;0.001
noisette de beurre;aḍaḍ n tlussi;0.001
noix;taddujt / dduj / taɣyayt;0.001
nom;assaɣ / ism;0.001
nom commercial;ism asɣnzi;0.001
nom d'action;;0.001
nom de famille;assaɣ awjan / ḍfṛism / ism awjan / ism n twacunt / ism n twja;0.001
nom de lieu;ism n udɣar;0.001
nom d’agent;ism n umskar;0.001
nom d’instrument;ism n wallal;0.001
nom et prénom;assaɣ anmdu / ism  anmdu;0.001
nom propre;ism iẓlin;0.001
non;lawah / uhu / wahi;0.001
non acquis;arumɛin / ur ittumɛinn;0.001
non autorisé;ur ittusrag;0.001
non emphatique;war tuffayt;0.001
nord;agafay / afuy / iẓẓlmḍ;0.001
nord-est;iẓẓlmḍ igan lqblt;0.001
nord-ouest;iẓẓlmḍ igan tagut;0.001
norme;alugn / asbdad;0.001
normes juridiques;ilugnn izrfann;0.001
note;tunniḍt / tusmirt;0.001
notre;nnɣ / nnɣnt;0.001
nouer;ass / krs;0.001
nouer un foulard sur la tête;qqn taknbuct;0.001
nous;nkkni;0.001
nouvelle;anɣmis / tanqqist tugzilt;0.001
nouvelle (genre littéraire);tanqqist taquḍaḍt;0.001
nouvelle lune;talalit n wayyur;0.001
noyau;aɛqqa / aɣrmi / aɣyay / ul / taɣyayt / tuẓmt;0.001
nu;aḥẓẓuḍ / uzzif;0.001
nuage;amdlu / asgnu / askun / isignu;0.001
nuage aqueux;asgnu iktarn;0.001
nuage bas;amdlu yudrn / asgnu yudrn;0.001
nuage glacé;amdlu ugris / asgnu ugris;0.001
nuit;iḍ;0.001
nul;amussr;0.001
numériseur;asnfal amuṭṭun;0.001
numéro d'immatriculation;;0.001
nuée;akʷrbab / ahittul;0.001
néologie (création de mots);asnulfu n tguriwin;0.001
néologisme;taguri tanulfut;0.001
néphrologie;tasnijjit n tgẓẓal;0.001
néphrologue;aḍbib n tgẓẓal;0.001
nœud;akrus / akrris / amkris / tagʷlilt / taxriwt  / tamukrist / tukrist;0.001
oasis;taɣla / taẓnigt;0.001
objet;askkin / taɣawsa;0.001
observatoire météorologique;asaḍaf n unzwi;0.001
observatoire national;asaḍaf anamur;0.001
obus;taburqct;0.001
octroi de licences;tikki n turagin;0.001
odeur;aḍu / illif / tujjut;0.001
odontologie, dentisterie;tasnijjit n tɣmas;0.001
oeil;mqql;0.001
office des changes;asira n usnfl;0.001
offre;askan;0.001
offres d’emploi;askan n twuri;0.001
ogre;agṛuḍ / amẓiw / argu / aryl;0.001
oie;tikikla;0.001
olive;tazitunt / zzitun;0.001
ombre;amalu / asklu / tasaywalt / tili;0.001
ombre de la terre;tili n wakal;0.001
omoplate;aɣṛuḍ / iɣss n tɣṛuḍt;0.001
once;tuqct;0.001
onde;taḍḍanga;0.001
onde cyclonique;tamzazt tamjaggʷjt;0.001
ongle;axbac / accar / iskr;0.001
onze;yan d mraw;0.001
ophtalmie;kundu / tamaḍunt n tṭṭawin / tamaḍunt n walln;0.001
ophtalmologie;tasnijjit n tṭṭawin  / tasnijjit n walln;0.001
ophtalmologue, oculiste;;0.001
opérateur technique;amwuri atiqni;0.001
or;ziɣ;0.001
orage;tignut;0.001
oral;amiwan;0.001
ordonnance médicale;tasmlt tamsgnaft;0.001
ordonnateur;amsusl i uqṛaḍ;0.001
ordre;anaḍ;0.001
ordre du jour, agenda;aɣawas n twuri;0.001
ordre public;anmala agdudan;0.001
oreille externe;amzzuɣ abṛṛan;0.001
oreille interne;amzzuɣ agʷnsan;0.001
oreillette droite;tamzzuɣt tafasit;0.001
oreillette gauche;tamzzuɣt taẓlmaḍt;0.001
orge;imndi / timẓin;0.001
originaire de Tamasint;u tmasint;0.001
originaire de Taznaght;ult tznaɣt;0.001
orl (oto-rhino-laryngologie);tasnijjit n imjjan d tnzar d taqqayt;0.001
ortie;tagzint;0.001
os crânien;iɣss n tɣcuct;0.001
os frontal;iɣss n twrna / iɣss n yignzi / iɣss n yinir;0.001
os pelvien;iɣss n imccir;0.001
os temporal;iɣss n tustiɣt;0.001
os à moelle;bu wadif;0.001
osier;tismlelt;0.001
ostéomyélite;aṛṣuḍ n iɣsan;0.001
ostéoporose;akssis n iɣsan / tirci n iɣsan;0.001
ou;mad / mid / niɣ / nɣd / ani / mani;0.001
oubli;tattut;0.001
ouest;adaram / grw / tagut / tayyut / tiṭṭ n unẓaṛ;0.001
oui;ɛad / ih / wah / waha / yyih;0.001
ours;abubbaz;0.001
outil;aqcuc / imis;0.001
outre;agrbuz / ancnac / askmuḍ / awlk / ayddid / irwan / tagnart / tanwart / taruyt / tawlkt / tayddidt;0.001
ouvrage collectif;arra amgru;0.001
ouïe;tasla / timsliwt;0.001
ovale;aglalay;0.001
ovins;ihrtan / ulli;0.001
où;mad / mid / niɣ / nɣd / ani / mani;0.001
où ?;mandi / mani;0.001
page;tasna;0.001
paiement exigible;afrru uccil;0.001
palier de compétence;aswir n tsugrt;0.001
pan;;0.001
pancréatite;afduddr n ubankryas;0.001
panneaux d’interdiction;ifiln n ugddul;0.001
panneaux d’obligation;ifiln n uzuccl;0.001
pantalon jean;akrbay n djin;0.001
paon;ṭṭawṣ;0.001
papier toilette;alkaɣiṭ n ujmir;0.001
par délégation;s tgnsest;0.001
par-dessous;s wadday / zg ddaw;0.001
parasitose intestinale;;0.001
parc auto;asddi n tmssudutin;0.001
parenté légitime;amyasa azrfan;0.001
pari;amsaras / amsḥṛam;0.001
parking surveillé;asbdd s tiḍaf;0.001
parquet général;tamurayt tamatayt;0.001
part;akil / amur / taɣamt / tasɣrt / taysɣart / tirmt / tuṭṭut;0.001
part audiovisuelle;tirmt tisliẓiṛt;0.001
part d'eau d'irrigation;;0.001
pas;adriz / asurif / atcbiḥ / aẓmmaẓẓl / tikli;0.001
pas encore;ur ta;0.001
passage pour piétons;asaka n imikiln;0.001
paupière;aɛddis n tiṭṭ / aɛrur n tiṭṭ / aɣmmus n tiṭṭ / acbab / irgl;0.001
pavillon de l'oreille;;0.001
pays émergent;tamazirt ittmɣayn;0.001
paysage audiovisuel;amuɣli asliẓiṛ;0.001
penalty;tiyti tanfgurt;0.001
pension alimentaire (femme divorcée);tawsudrt n wuluf;0.001
pension militaire;tawsudrt tasrdast;0.001
pensions civiles;tawsudrt tuɣrimt;0.001
pente abrupte;aḥduddr / tasawnt ibddn;0.001
pente longitudinale;agusr uɣzif;0.001
pente transversale;tagsart talgdist;0.001
permis de conduire;turagt n undah;0.001
permis de construire, permis de bâtir;turagt n tuṣka;0.001
personne;aggʷd yukk / agʷd yiwn / ula d ijj;0.001
personne hospitalisée;amgun g usgnaf;0.001
pet;akffif / akucci / akuẓẓi / uṛḍ / tuṛṛiḍt;0.001
peu;abll / awzwiz / drus / imikk / imiq / imil / cuct / cway / cwayt;0.001
peur;tawda / tikṣṣaḍ / tiwdi / tuggda;0.001
pic;axcac / aqcac / acnqur / ixf;0.001
pie;aɣusas / tibiqct;0.001
pieu;ajij / azrzu / tagust;0.001
pin;tayda;0.001
pion;agʷntr / asba;0.001
pipe;ajɛbub;0.001
pis;tiẓi;0.001
plan;aɣawas;0.001
plat;abaṣaḍ / aḍbṣil / aflwaḍ / almid / amḍli / amnnirs / giddi / tabagit / taẓuḍa;0.001
pli;aḍffuṣ / anuḍu / iniḍi;0.001
poil;anẓaḍ / anẓḍ / qzzr / inẓiḍ / izbl;0.001
poli;abaṣaḍ / ḥluṛḍ;0.001
port;aftas / aksay / asatti;0.001
pot;aqlluc / aɣrraf / tagddut / taqnuct / taɣrɣizt;0.001
pou;taxxuyt / tilkit / ticcit;0.001
pour;i / uḥma;0.001
puce;aggurdi / akurdu;0.001
puer;buḥ / xnnen / jju / ṛṣuḍ / zamma / zzummu / zzunzḥ;0.001
pur;aḥuṛṛi / amsari / amzdag / aṛṣli / azddag / izdig / ɣus;0.001
pus;aluɛi / aṛṣḍ / tinist;0.001
pédagogie de l’erreur;tabidagujit n tzglt;0.001
pédagogie de l’intégration;tabidagujit n usidf;0.001
pédagogie différenciée;tabidagujit tanbḍayt;0.001
pédiatre;aḍbib n imẓẓyann;0.001
pédiatrie;tasnijjit n imẓẓyann;0.001
péricarde (membrane enveloppant le cœur);asatl n wul;0.001
période de stérilisation;tizi n tsggrt;0.001
période géologique, ère géologique;azmz ajyuluji;0.001
période électorale;azmz n ustay;0.001
pêche maritime;tagmrt taylant;0.001
qu'est ce que c'est que ce travail?;;0.001
qu'est ce que c'est que ça?;;0.001
quai;asali;0.001
qualifier;sɣrt;0.001
qualifié;amɣrat;0.001
qualité;aɣudu / taɣara;0.001
quand;adday / axmi / iɣ / laqmi / llig / mikk / smi;0.001
quand ?;managʷ / milmi / mlmi;0.001
quant à;imma;0.001
quantité;tasmkta;0.001
quartier;tacuffiḍt / tuddurt;0.001
quatre;kkuẓ;0.001
que;ay / is / lli / nna / nni;0.001
quel;man / matta;0.001
quelle;matta;0.001
quelle ?;man;0.001
quels;matta;0.001
querelle;amcubbk / imillu / imradn / tiẓit;0.001
quereller;kyḍ;0.001
question;tamslayt;0.001
queue;abanna / abḥrur / abṛḍuḍ / aɛnnab / ajḥrar / ajlal  / anafr / anwwaṛ / acggʷaḍ / acṭṭab / acwad / acwwaḍ / azafal / tacɣḍabt / tacṭṭabt / taẓnḍiḍt / timɣilt;0.001
qui;ay / lli;0.001
qui ?;wi;0.001
qui a la mâchoire tordue;ufriɣ n uɣẓẓaẓ / ufriɣ n wagja;0.001
qui rate;amssuki;0.001
qui suit;uḍfiṛ;0.001
qui);tnna;0.001
quintal;aqnḍaṛ;0.001
quinzaine;azgnyur;0.001
quitter;zri;0.001
quiétude;takuni;0.001
quoi ?;mi / min;0.001
quorum;tagumt;0.001
quotidien;akuyass;0.001
racine (de la dent);aẓuṛ n tɣmst;0.001
racisme;asnuḥyu aẓuṛan / tassaẓuṛt;0.001
radiation solaire;aẓnẓṛ n tafukt;0.001
radiographie;asulf s uẓnẓṛ;0.001
radiologue;aḍbib n uzzray s uẓnẓṛ;0.001
radioprotection;aray zg iẓnẓaṛn;0.001
radioscopie, examen radiologique;azzray s uẓnẓṛ;0.001
radiothérapie;asasfr s uẓnẓṛ / asmkl s uẓnẓṛ;0.001
rage;amuzzr / acnglil;0.001
rame;aqddac / amqdaf / taglut;0.001
rang;adaru / adur;0.001
raquette de cactus;afadar / afadas / aḥkuk n uknari / angul / aɣṛuḍ;0.001
raser;grrj / sllḥ;0.001
rat;aɣrda;0.001
rater;guf / fllt / ssakʷi / ssiki / zgl;0.001
ravin;aɣzr / iɣzr / izzil / taslya;0.001
ravin en surface;aɣzr ur iɣbin;0.001
ravin large;aɣzr amiriw;0.001
ravin profond;aɣzr iɣban;0.001
ravin/ valée de largeur moyenne;;0.001
rayer;kṛṛj;0.001
rayon de miel;agal / imcḍ / iɣli / taknift n tammemt / taydlt;0.001
rayon, gâteau de miel;aẓṭṭa n tammemt;0.001
recherche scientifique;arzzu amassan / asiggl amassan;0.001
